gene,NRI,rank_early,rank_late,delta_rank
ABCB7,1,0.2780806979280262,0.3615910004017678,0.08351030247374158
ABCB8,1,0.3530390862652815,0.28967456809963843,-0.06336451816564309
ABCB9,1,0.5756758307983699,0.5010618148424496,-0.07461401595592032
ABCC1,1,0.14962979969006485,0.09900705963381737,-0.05062274005624748
ABCC10,1,0.4153130918900304,0.25024393043677895,-0.16506916145325146
ABCC11,1,0.9531653561384377,0.9066176892613212,-0.04654766687711642
ABCC2,0.9743589743589743,0.4750617000516559,0.380301899787637,-0.09475980026401887
ABCC3,1,0.08569132755553005,0.045055386557998046,-0.040635940997532004
ABCC4,1,0.6830626183780061,0.6837513631406761,6.887447626700016e-4
ABCC5,1,0.3858118578889973,0.27716237157779944,-0.10864948631119786
ABCC6,1,0.9000172186190668,0.8907191643230213,-0.009298054296045466
ABCD1,1,0.3676175170751306,0.3964300063134937,0.028812489238363104
ABCD3,1,0.10767376456408197,0.17086609653905757,0.0631923319749756
ABCD4,1,0.4973885094415428,0.33679618894564656,-0.16059232049589622
ABCE1,0.9743589743589743,0.04861390116512656,0.06365149515008896,0.015037593984962398
ABCF1,1,0.1694886070137175,0.16673362796303737,-0.0027549790506801453
ABCF2,1,0.11335590885610974,0.14871147333983814,0.0353555644837284
ABCF3,1,0.28680479825517996,0.23732996613671584,-0.049474832118464124
ABCG2,1,0.6198702864030304,0.6460425873844917,0.026172300981461283
ABCG4,1,0.8956551684554899,0.9819778453768008,0.0863226769213109
ABHD10,1,0.34156000688744764,0.41427997474602535,0.0727199678585777
ABHD11,1,0.47850542386500605,0.3975205188543879,-0.08098490501061817
ABHD12,1,0.23078689089135052,0.2891580095276359,0.05837111863628536
ABHD13,1,0.4349423176261264,0.4851058945072605,0.0501635768811341
ABHD14A,1,0.5187395970843138,0.5810709981059519,0.06233140102163803
ABHD14B,1,0.19164323021293692,0.2962176433450037,0.1045744131320668
ABHD15,1,0.48281007863169373,0.5365321701199564,0.053722091488262624
ABHD16A,1,0.3979222866326121,0.39470814440681856,-0.003214142225793526
ABHD17A,1,0.17769614876886874,0.20736956896056935,0.029673420191700606
ABHD17B,1,0.5495609252137978,0.5543247431555989,0.00476381794180103
ABHD17C,1,0.3438558227630144,0.3406990759341101,-0.003156746828904322
ABHD18,1,0.4950352981690868,0.4573265224129025,-0.03770877575618431
ABHD2,1,0.062446191815416406,0.08580611834930839,0.023359926533891982
ABHD3,1,0.45112781954887216,0.4654192733742754,0.014291453825403255
ABHD4,1,0.3478161051483671,0.36078746484531943,0.012971359696952345
ABHD5,1,0.1384376972966768,0.17936061527865466,0.04092291798197786
ABHD6,1,0.5995523159042645,0.6258394076795041,0.02628709177523958
ABHD8,1,0.545887619812891,0.5822763014406245,0.036388681627733455
ABI1,1,0.2646501750559605,0.2582792860012627,-0.0063708890546977925
ABI2,1,0.28697698444584746,0.26160821902083453,-0.02536876542501293
ABI3BP,1,0.8696550536646961,0.8895712563852379,0.019916202720541842
ABITRAM,1,0.35958216151064687,0.4243815645985192,0.06479940308787235
ABL1,1,0.1665040463754807,0.11766056362279745,-0.04884348275268324
ABL2,1,0.14704700683005223,0.08741318946220514,-0.05963381736784709
ABLIM1,0.9473684210526316,0.011421683980944728,0.013143545887619812,0.0017218619066750838
ABLIM2,1,0.7746656718131206,0.7918268954829822,0.017161223669861614
ABLIM3,1,0.09682603455202893,0.07650806405326292,-0.020317970498766005
ABO,1,0.71112896745681,0.6983871893474143,-0.012741778109395696
ABR,1,0.20943580324857947,0.19181541640360444,-0.017620386844975022
ABRACL,1,0.27790851173735864,0.4019399644148539,0.12403145267749527
ABRAXAS1,0.9743589743589743,0.44785628192618954,0.5203466681972105,0.072490386271021
ABRAXAS2,1,0.4028582907650806,0.4552602881248924,0.05240199735981177
ABT1,1,0.2940366182632153,0.41904379268782643,0.12500717442461112
ABTB1,1,0.5976008724100327,0.5097859151696034,-0.08781495724042931
ABTB2,1,0.4673707168685071,0.49136199276818,0.02399127589967287
AC000065.2,1,0.8348734431498593,0.7293807036675659,-0.10549273948229343
AC000068.1,1,0.7321930781151351,0.7571026803650347,0.024909602249899576
AC000068.2,1,0.9202777937209435,0.9692934626642943,0.04901566894335074
AC000068.3,1,0.8935889341674798,0.9598806175744705,0.06629168340699076
