gene,cluster,module_membership,lfc_sur,pc_loading,NRI,rank_early,rank_late,delta_rank
ANKRD44,M7,0.36089051301792763,0.6350971780965677,0.009750267896259953,0.9743589743589743,0.7136543649199334,0.679618894564656,-0.03403547035527743
ANKRD46,M4,0.36156146446075454,-0.1590363072440546,-0.0011877480792656099,1,0.47942375021523276,0.5152384778740745,0.03581472765884175
ANKRD49,M2,0.6672165440289894,-0.3685953191607325,-0.004965657735265699,1,0.4496355392297538,0.5147793146989611,0.0651437754692073
ANKRD50,M6,0.5738366713638627,0.27630981427296497,0.0044340098228190005,1,0.13671583539000173,0.09154565803822533,-0.045170177351776405
ANKRD52,M6,0.14947806589819002,-0.27191185319614775,-0.002408809537490193,1,0.060953911496297995,0.06680824197899328,0.005854330482695284
ANKRD54,M4,0.6460076114978348,-0.05914242152793037,0.001805455318730685,1,0.4441255811283935,0.4675429030591747,0.023417321930781165
ANKRD6,M3,0.21488652830053434,0.06402996503620884,7.062048912455929e-4,1,0.729438099064455,0.7383343855822763,0.008896286517821261
ANKRD61,M3,0.5666507972277088,-0.14982667155041707,-0.0031596210133702576,0.9743589743589743,0.9330195718303392,0.9820926361705791,0.049073064340239836
ANKRD62,M7,0.059423189973086044,1.20996732496537,0.017771545824559306,1,0.6880560179073638,0.613269815760776,-0.07478620214658782
ANKRD9,M2,0.09217280814587847,-0.3119875533823073,-0.0031956086537679846,1,0.2582792860012627,0.3082706766917293,0.0499913906904666
ANKS1A,M1,0.7414469959689399,0.7134646419712389,0.013945974381985287,1,0.32009412845089824,0.20157263387476324,-0.118521494576135
ANKS1B,M7,0.27964451482860864,1.0646692323045945,0.01676621172045863,1,0.7877518223038512,0.7007977960167595,-0.0869540262870917
ANKS3,M1,0.5951331987080422,0.9527021019477484,0.014611088662925528,1,0.5290133731274752,0.41261550823623944,-0.11639786489123577
ANKZF1,M1,0.5901257980882317,0.9523096263724309,0.014347748688940842,1,0.2789990242782529,0.1282787120472938,-0.1507203122309591
ANLN,M6,0.6926866699688367,0.14540360674956432,9.97041563834011e-4,1,0.08368248866440911,0.06118349308385467,-0.02249899558055444
ANO1,M4,0.26415248207851594,0.08707915701619129,0.004675780801441721,1,0.38569706709521895,0.379613155024967,-0.00608391207025194
ANO10,M2,0.2707770217005273,-0.38694581552132945,-0.004050338453883613,1,0.2558112839350284,0.3205532916260116,0.0647420076909832
ANO6,M6,0.4349407158291799,-0.09763059824063447,-0.002318477707170434,1,0.15531194398209264,0.1549675716007576,-3.4437238133502857e-4
ANO7,M7,0.05486431612743892,0.2130654235426368,0.0037221465383641766,1,0.7156058084141652,0.7137117603168226,-0.0018940480973426155
ANO8,M1,0.7592719919568625,0.6270069676819858,0.008242191823096053,1,0.4290879871434311,0.3372553521207599,-0.0918326350226712
ANO9,M1,0.5288135447481332,1.139595551273855,0.01347120618138585,1,0.3493083854674855,0.1631177179590197,-0.1861906675084658
ANP32A,M5,0.3685600145227059,-0.2920472743514466,-0.003942366951401362,1,0.12156345061126098,0.14291453825403203,0.02135108764277105
ANP32B,M5,0.469933088305141,-0.4135891689329423,-0.005505659328440188,1,0.054296045457154336,0.06652126499454744,0.012225219537393105
ANP32E,M5,0.2195281335633511,-0.6026274398216778,-0.011003274801323357,1,0.1581817138265511,0.2409458761407335,0.0827641623141824
ANPEP,M6,0.019148085487555977,-0.28545427471047624,-0.0025655286777201405,0.9189189189189189,0.004247259369798542,0.0028697698444584744,-0.0013774895253400679
ANTKMT,M2,0.703088206955709,-0.40025771166165214,-0.004774778704063215,1,0.4380416690581415,0.5077770762784825,0.06973540722034094
ANTXR1,M5,0.1537664435642473,-0.36406140024348055,-0.0056409646859906,0.9743589743589743,0.20949319864546864,0.264477988865293,0.05498479021982436
ANTXR2,M4,0.4307462229338216,0.15688598785489383,-3.0114711975739376e-4,0.9743589743589743,0.453768007805774,0.4459048384319578,-0.007863169373816203
ANXA1,M5,0.4381973858527163,-0.9877088926230648,-0.013426333729028864,0.9743589743589743,0.01245480112494978,0.01991620272054181,0.007461401595592032
ANXA11,M6,0.14775931229175532,-0.23804781634360594,-0.002071775166885915,0.9743589743589743,0.023876485105894508,0.02135108764277105,-0.0025253974631234584
ANXA2,M5,0.017162969215956503,-0.9739855816262324,-0.014063600410384786,0.6666666666666667,0.0028697698444584744,0.003960282385352695,0.0010905125408942206
ANXA2R,M7,0.4601922045665586,0.29342859923909703,0.0029752771067303456,1,0.7869482867474028,0.7686391551397578,-0.018309131607645024
ANXA3,M5,0.5553793494951177,-0.6252059694537611,-0.009710735422905294,0.9743589743589743,0.05957642197095793,0.09022556390977443,0.0306491419388165
ANXA4,M5,0.852678136095036,-0.3746463052515008,-0.007467621922282945,1,0.10394306376628594,0.1309189003041956,0.02697583653790965
ANXA5,M5,0.6571713354692368,-0.6722821558421845,-0.01262642224787811,1,0.04970441370602078,0.07599150548126041,0.026287091775239628
ANXA7,M5,0.47843896235946537,-0.518777003710845,-0.007947442707184525,1,0.1555415255696493,0.22286632612064514,0.06732480055099582
ANXA8,M6,0.7790845470030916,-0.06999121256737517,9.98967836105888e-4,1,0.11490558457211732,0.10635367043563106,-0.00855191413648626
ANXA8L1,M4,0.5792469896564457,0.07276944737285618,0.0035763510965409256,1,0.4290305917465419,0.4297767319061011,7.461401595592054e-4
ANXA9,M4,0.02564986356377219,-0.2560580310378153,-0.0036480589870861824,0.9743589743589743,0.5402054755208632,0.5815301612810653,0.041324685760202096
AOC1,M3,0.5276694564585673,-0.34439438449407067,-0.004593591875618126,1,0.854732250473512,0.9519600528037652,0.09722780233025319
AOC2,M3,0.04102881496208777,-0.14897833121289317,-0.005425530323082075,0.9743589743589743,0.6350800665786603,0.6606210181943408,0.025540951615680485
AOC3,M2,0.026413745585626702,-0.7122943610581958,-0.013258572343675303,1,0.687424668541583,0.7638753371979567,0.07645066865637373
AOPEP,M1,0.540526541573027,1.0766845537491303,0.0178543444373683,1,0.5036446077024622,0.3559662515066292,-0.14767835619583303
AOX1,M4,0.5882317346293593,0.051909620630929965,-0.0025397975546175362,1,0.5503644607702463,0.5613843769729667,0.01101991620272047
AP000223.1,M3,0.7697411977569005,-0.14368903373172603,-0.0029304274869534092,1,0.8928427940079205,0.9457039545428456,0.05286116053492507
AP000229.1,M3,0.5548980938514578,-0.2814241162886111,-0.0057833601556804125,0.9743589743589743,0.9362911094530219,0.9932847385639672,0.0569936291109453
AP000240.1,M3,0.6992534806535824,-0.030561406435835714,-8.778112887265021e-4,1,0.9292888710325432,0.9550020088388911,0.025713137806347874
AP000251.1,M3,0.6944663790047202,-0.04792606280989187,-4.7567797999600224e-4,1,0.9291166848418757,0.9591918728118005,0.03007518796992481
AP000253.1,M7,0.43775909034341354,0.6921989746309558,0.010305234650043302,1,0.9795672387074557,0.8469838718934741,-0.13258336681398153
AP000254.2,M3,0.6715151960162621,-0.27611123753053146,-0.0042500443593283055,1,0.8243700855191414,0.8960569362337141,0.0716868507145727
AP000265.1,M3,0.5493592307477662,0.02459886736494088,-8.734492663359164e-4,1,0.9525340067726569,0.9621190380531481,0.009585031280491263
AP000266.1,M7,0.6109929241101378,0.46668030364495205,0.007862081430136727,1,0.9582161510646846,0.8678757963611319,-0.09034035470355273
AP000320.1,M3,0.5798451320130048,-0.19933208378520462,-0.0038939392312705608,0.9743589743589743,0.8548470412672904,0.9170636514951501,0.06221661022785974
AP000331.1,M3,0.7399131195899014,-0.11724604645873882,-0.004137951330438016,1,0.9147104402226941,0.9621764334500373,0.04746599322734324
AP000350.5,M3,0.20286749946151494,0.08101315310666113,0.0013921557178457411,1,0.9611433163060322,0.9563794983642312,-0.00476381794180103
