Cluster,Description,score,FDR,Count
M4,HALLMARK_PEROXISOME,5.903210569373046e-9,0.9999999864073554,10
M4,HALLMARK_CHOLESTEROL_HOMEOSTASIS,5.903210569373046e-9,0.9999999864073554,9
M4,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,5.903210569373046e-9,0.9999999864073554,9
M4,HALLMARK_IL6_JAK_STAT3_SIGNALING,5.903210569373046e-9,0.9999999864073554,8
M4,HALLMARK_PROTEIN_SECRETION,5.903210569373046e-9,0.9999999864073554,8
M4,REACTOME_MITOCHONDRIAL_TRANSLATION,5.903210569373046e-9,0.9999999864073554,8
M4,REACTOME_GLUCOSE_METABOLISM,5.903210569373046e-9,0.9999999864073554,7
M4,HALLMARK_COAGULATION,5.903210569373046e-9,0.9999999864073554,6
M4,HALLMARK_MYC_TARGETS_V1,5.903210569373046e-9,0.9999999864073554,6
M4,HALLMARK_OXIDATIVE_PHOSPHORYLATION,5.903210569373046e-9,0.9999999864073554,6
M4,HALLMARK_PI3K_AKT_MTOR_SIGNALING,5.903210569373046e-9,0.9999999864073554,6
M4,WP_PROTEASOME_DEGRADATION,5.903210569373046e-9,0.9999999864073554,6
M4,HALLMARK_NOTCH_SIGNALING,5.903210569373046e-9,0.9999999864073554,5
M4,HALLMARK_ANGIOGENESIS,5.903210569373046e-9,0.9999999864073554,4
M4,HALLMARK_APICAL_SURFACE,5.903210569373046e-9,0.9999999864073554,4
M4,HALLMARK_HEDGEHOG_SIGNALING,5.903210569373046e-9,0.9999999864073554,3
M4,HALLMARK_MYC_TARGETS_V2,5.903210569373046e-9,0.9999999864073554,3
M4,HALLMARK_PANCREAS_BETA_CELLS,5.903210569373046e-9,0.9999999864073554,3
M4,PID_MYC_ACTIV_PATHWAY,5.903210569373046e-9,0.9999999864073554,3
M4,WP_AMINO_ACID_METABOLISM,5.903210569373046e-9,0.9999999864073554,3
M4,WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA,5.903210569373046e-9,0.9999999864073554,2
M4,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,5.903210569373046e-9,0.9999999864073554,1
M4,HALLMARK_TGF_BETA_SIGNALING,5.903210569373046e-9,0.9999999864073554,1
M5,HALLMARK_MYC_TARGETS_V1,31.214636779027238,6.100468949537034e-32,127
M5,HALLMARK_OXIDATIVE_PHOSPHORYLATION,18.277297344910473,5.280835692434938e-19,110
M5,HALLMARK_MTORC1_SIGNALING,13.165525989054371,6.830838396467832e-14,97
M5,WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA,13.165525989054371,6.830838396467832e-14,63
M5,WP_PROTEASOME_DEGRADATION,11.910708571187323,1.2282631679540928e-12,41
M5,HALLMARK_PROTEIN_SECRETION,5.219442221763413,6.033339697202855e-6,46
M5,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,4.748097582454539,1.786086210648646e-5,49
M5,HALLMARK_GLYCOLYSIS,4.6234762436417745,2.3797084699156037e-5,71
M5,HALLMARK_ANDROGEN_RESPONSE,4.490582361432495,3.231600291006719e-5,44
M5,HALLMARK_FATTY_ACID_METABOLISM,3.4864928437662392,3.2621742570760557e-4,56
M5,HALLMARK_PI3K_AKT_MTOR_SIGNALING,3.4864928437662392,3.2621742570760557e-4,40
M5,HALLMARK_ADIPOGENESIS,3.1500307718794467,7.078956247540313e-4,69
M5,WP_AMINO_ACID_METABOLISM,2.9637682158296546,0.0010870056067432223,31
M5,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,2.9637682158296546,0.0010870056067432223,23
M5,HALLMARK_PEROXISOME,2.2841816869935823,0.005197785018291991,35
M5,PID_MYC_ACTIV_PATHWAY,1.7052323312360411,0.019713678462221537,29
M5,HALLMARK_UV_RESPONSE_UP,1.6039097436292358,0.024893746137628934,47
M5,HALLMARK_APOPTOSIS,1.5229582644130124,0.02999450751576594,48
M5,HALLMARK_HYPOXIA,1.0174472608122156,0.0960622465902921,55
M5,HALLMARK_APICAL_JUNCTION,0.7121448964778524,0.19402384352912283,48
M5,HALLMARK_P53_PATHWAY,0.647912696176856,0.22495067663184484,57
M5,HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.43929273417236436,0.363669823543889,22
M5,HALLMARK_ESTROGEN_RESPONSE_LATE,0.4088986433770428,0.39003300283477627,50
M5,HALLMARK_TGF_BETA_SIGNALING,0.18479331265970766,0.6534414613748848,16
M5,GOMF_HEAT_SHOCK_PROTEIN_BINDING,0.1356757629119067,0.731685143663244,32
M5,HALLMARK_PANCREAS_BETA_CELLS,0.09156587963061101,0.8099050750621918,5
M5,REACTOME_CELL_CYCLE_CHECKPOINTS,0.05810065115691563,0.8747810143624553,63
M5,REACTOME_GLUCOSE_METABOLISM,0.05810065115691563,0.8747810143624553,19
M5,HALLMARK_TNFA_SIGNALING_VIA_NFKB,1.3205838986307955e-7,0.9999996959243663,46
M5,REACTOME_MRNA_SPLICING,1.3205838986307955e-7,0.9999996959243663,46
M5,HALLMARK_ESTROGEN_RESPONSE_EARLY,1.3205838986307955e-7,0.9999996959243663,44
M5,HALLMARK_E2F_TARGETS,1.3205838986307955e-7,0.9999996959243663,43
M5,HALLMARK_G2M_CHECKPOINT,1.3205838986307955e-7,0.9999996959243663,40
