gene,cluster,module_membership,lfc_sur,pc_loading,NRI,baseline_value,abs_lfc_sur
ADCY6,M6,0.23541305225028175,0.5377260164283815,0.00827921420624521,1,2687.3045947062847,0.5377260164283815
ANKLE2,M6,0.16644891865181488,0.5070145744876573,0.00893643632961014,1,2683.789041173971,0.5070145744876573
CSNK1D,M6,0.3107951559475486,0.4612001171042177,0.00719058824886843,1,2644.375935023178,0.4612001171042177
ABCC3,M6,0.4123251500002767,0.4529906644813426,0.00700526554341511,1,2602.6122600884364,0.4529906644813426
TIAL1,M6,0.20715641133329257,0.501809984856953,0.00759102598323472,1,2551.86121023638,0.501809984856953
RBM26,M6,0.09142807237117744,0.447389743394254,0.00815137450559653,1,2496.9063201837857,0.447389743394254
MLXIP,M6,0.09867135035833774,0.5144153238126563,0.00868720309331144,1,2448.9263350500505,0.5144153238126563
ZNFX1,M6,0.2879284229506385,0.484890796601249,0.00619108160346189,1,2409.0743719640222,0.484890796601249
DMXL1,M6,0.05168534279114545,0.4306391753312777,0.00729122004649813,1,2398.820135005424,0.4306391753312777
TRAK1,M6,0.11968972746843544,0.5799375757290086,0.00711067827727869,1,2320.818570380353,0.5799375757290086
SPG11,M6,0.12396351836284204,0.4275577364386969,0.00681194956186923,1,2235.353535136767,0.4275577364386969
TTC17,M6,0.40424791350909184,0.4503456470755882,0.00514869216682282,1,2155.9453900325875,0.4503456470755882
TSC2,M6,0.30054391714210726,0.44180223265512986,0.00655038297601398,1,1971.5681813132255,0.44180223265512986
ZNF217,M6,0.3083029175730575,0.4319841846897141,0.00391052008269128,1,1752.4445202955978,0.4319841846897141
NADSYN1,M6,0.02033065743311501,0.5811749448946362,0.00731983792411907,1,1679.4942811211558,0.5811749448946362
USP53,M6,0.09097702582604904,0.438382737014841,0.00476699092765904,1,1672.2701679470279,0.438382737014841
KMT2B,M6,0.05361300915535483,0.4810687755044505,0.00646624447571659,1,1483.265487140943,0.4810687755044505
CCNL2,M6,0.10770467442646314,0.46712508685680376,0.00669306356352896,1,1481.0622493193434,0.46712508685680376
NAPRT,M6,0.1952183647659803,0.4813189591563845,0.00570369940881933,1,1464.1853121332524,0.4813189591563845
TMEM94,M6,0.04454598159545675,0.4318448264915151,0.00658786483160121,1,1462.8501588489626,0.4318448264915151
PLXNA3,M6,0.04292211686064062,0.4536266094994766,0.00630549174095248,1,1215.163667347606,0.4536266094994766
RBBP8NL,M7,5.935325956664128e-4,1.0575869459602236,0.01902413629842867,1,182.49796377738375,1.0575869459602236
PPCDC,M7,0.03957891565794436,1.1162744606997863,0.01573558948762196,1,119.60693864340429,1.1162744606997863
EVC2,M7,0.04745826728537006,1.0879831091457746,0.0183477294574395,0.97435897435897445,116.37417941627314,1.0879831091457746
MIR646HG,M7,0.06834696103747773,1.0841928775204357,0.01681062139697558,1,115.7098494648019,1.0841928775204357
NPTN-IT1,M7,0.03176729656795296,1.1400629087395018,0.01648289985181301,1,114.34760351194566,1.1400629087395018
ZNF66,M7,0.07805445828050928,1.0718773110725524,0.01543412293041466,1,108.15800057310085,1.0718773110725524
AC009120.2,M7,0.142751717961471,1.057449720361606,0.01550217737847826,1,99.86355282742045,1.057449720361606
GMDS-DT,M7,0.00386442801667974,1.235690851397807,0.01669250923618425,1,94.66489641444221,1.235690851397807
CCDC191,M7,0.0459941558010446,1.2561985444902062,0.01787345320802947,1,90.71362189870659,1.2561985444902062
PCAT1,M7,0.10668204092758304,1.0719293814792596,0.01647863176435786,1,84.04434885860562,1.0719293814792596
GOLGA6L4,M7,0.03299201305004551,1.1625734607666498,0.01506352527686443,1,83.79443146621753,1.1625734607666498
FAM13A-AS1,M7,0.12488468503157968,1.0936991916058734,0.01534850984380622,0.97435897435897445,79.86222708846472,1.0936991916058734
PLCH1,M7,0.0325071814113631,1.3025908009017604,0.01982577550371668,1,78.25614711850886,1.3025908009017604
AC006504.1,M7,0.18132295036292337,1.0971741413875185,0.01528946500994565,1,77.51053916133777,1.0971741413875185
AC008760.2,M7,0.07426332090231091,1.08665076443281,0.01397558756254362,1,76.26315726409516,1.08665076443281
AC009229.1,M7,0.14411570998783252,1.126350644033809,0.01842445750778423,1,70.28530684403205,1.126350644033809
CIITA,M7,0.09247241746950784,1.302155079358986,0.0201435798004104,1,69.24167953262813,1.302155079358986
CCDC150,M7,0.03243275306416149,1.141652948883717,0.01513041557593124,1,69.08561690257554,1.141652948883717
C5orf56,M7,0.1336984816564878,1.1915392968297231,0.0178288471980577,1,68.92306089117581,1.1915392968297231
SCX,M7,0.09226494191454372,1.1214101520640094,0.01547359654177367,1,64.52419777250192,1.1214101520640094
LINC02193,M7,0.09947958901490084,1.229548513156943,0.01778954401082036,1,64.07012243254813,1.229548513156943
EVPLL,M7,0.13069397035017327,1.1910848436988744,0.01662300676137235,1,61.43459753494312,1.1910848436988744
PRODH,M7,0.251742685617788,1.0885241749678451,0.01363870363570468,1,60.48646861684358,1.0885241749678451
TMEM51-AS1,M7,0.111541666962646,1.1524831083779905,0.01629992103914548,1,59.45451132100964,1.1524831083779905
LINC02615,M7,0.2180740601991893,1.1355865166173205,0.01555502071111538,1,59.37972669665693,1.1355865166173205
ANKRD62,M7,0.05942318997308604,1.20996732496537,0.0177715458245593,1,57.909110069534194,1.20996732496537
POU5F2,M7,0.21838646317170615,1.1573825428152356,0.01736271569059424,1,57.10931677522986,1.1573825428152356
GPRASP1,M7,0.02895596782752296,1.351756667753123,0.0184119574147011,1,54.73053617953629,1.351756667753123
LINC00265,M7,0.20154188024312236,1.1121157607504042,0.01623229437102516,1,52.7646389936892,1.1121157607504042
PEAR1,M7,0.14413395875119783,1.217084095608696,0.01676342024141686,1,48.99651977657278,1.217084095608696
PRH1,M7,0.15711489992532943,1.1282994976911818,0.01872333113217852,1,47.45710129504555,1.1282994976911818
EBLN2,M7,0.2804269019715139,1.074182600485873,0.01513159044364727,1,46.29912053942691,1.074182600485873
SNORC,M7,0.07129424698977571,1.2977273485870562,0.01916314297421279,1,46.233245136183044,1.2977273485870562
AGER,M7,0.03712622288490097,1.253127009501842,0.01557093958613675,1,46.00759456654122,1.253127009501842
