gene,ensg,baseline_expr,baseline_tpm,A_expr,B_expr,lfc,rank,band,updown,p_value,fdr,expr_scale
ENSG00000198763_MT-ND2,ENSG00000198763,83317.4630175583,83317.4630175583,90787.1316994606,83317.4630175583,0.123867487071454,17,head,Neutral,,,normcounts
ENSG00000178209_PLEC,ENSG00000178209,80381.1166675407,80381.1166675407,67986.588743495,80381.1166675407,-0.241603163935192,18,head,Neutral,,,normcounts
ENSG00000140988_RPS2,ENSG00000140988,79469.6058284739,79469.6058284739,80290.0394589486,79469.6058284739,0.0148176482911921,19,head,Neutral,,,normcounts
ENSG00000198899_MT-ATP6,ENSG00000198899,78739.8718151471,78739.8718151471,92039.6995575083,78739.8718151471,0.22515926280585,20,head,Neutral,,,normcounts
ENSG00000205426_KRT81,ENSG00000205426,73411.8001299937,73411.8001299937,67518.9133309967,73411.8001299937,-0.120718578641515,21,head,Neutral,,,normcounts
ENSG00000198786_MT-ND5,ENSG00000198786,71579.7846013732,71579.7846013732,81040.2395970259,71579.7846013732,0.179083884287301,22,head,Neutral,,,normcounts
ENSG00000133112_TPT1,ENSG00000133112,67986.4082232347,67986.4082232347,67004.0525115341,67986.4082232347,-0.0209976871900608,23,head,Neutral,,,normcounts
ENSG00000111640_GAPDH,ENSG00000111640,66553.3243299772,66553.3243299772,67086.5268349543,66553.3243299772,0.0115121525897628,24,head,Neutral,,,normcounts
ENSG00000142541_RPL13A,ENSG00000142541,65614.7691560888,65614.7691560888,71621.1320707479,65614.7691560888,0.126362892691706,25,head,Neutral,,,normcounts
ENSG00000099194_SCD,ENSG00000099194,65192.6335029693,65192.6335029693,65407.2114347745,65192.6335029693,0.00474068029899222,26,head,Neutral,,,normcounts
ENSG00000109971_HSPA8,ENSG00000109971,64792.0846190255,64792.0846190255,67961.5407377179,64792.0846190255,0.0688999456461108,27,head,Neutral,,,normcounts
ENSG00000174444_RPL4,ENSG00000174444,60439.3721804669,60439.3721804669,64445.3798054434,60439.3721804669,0.0925867749032054,28,head,Neutral,,,normcounts
ENSG00000070756_PABPC1,ENSG00000070756,59718.8570068067,59718.8570068067,58988.9591517208,59718.8570068067,-0.0177413009323644,29,head,Neutral,,,normcounts
ENSG00000089157_RPLP0,ENSG00000089157,59506.4753167635,59506.4753167635,62610.4687477815,59506.4753167635,0.0733560336814367,30,head,Neutral,,,normcounts
ENSG00000100316_RPL3,ENSG00000100316,59232.9670368637,59232.9670368637,63460.3671174227,59232.9670368637,0.0994538908504552,31,head,Neutral,,,normcounts
ENSG00000198888_MT-ND1,ENSG00000198888,56389.4605814582,56389.4605814582,61133.2205159483,56389.4605814582,0.116529043180098,32,head,Neutral,,,normcounts
ENSG00000161016_RPL8,ENSG00000161016,53269.3353200597,53269.3353200597,55509.1755398125,53269.3353200597,0.0594198931002161,33,head,Neutral,,,normcounts
ENSG00000186081_KRT5,ENSG00000186081,52484.581767406,52484.581767406,55382.0728042752,52484.581767406,0.0775239438974662,34,head,Neutral,,,normcounts
ENSG00000075624_ACTB,ENSG00000075624,51612.7259732054,51612.7259732054,43841.1174453437,51612.7259732054,-0.235437304021566,35,head,Neutral,,,normcounts
ENSG00000272398_CD24,ENSG00000272398,49484.5234498375,49484.5234498375,42069.2514385117,49484.5234498375,-0.234206098705494,36,head,Neutral,,,normcounts
ENSG00000181143_MUC16,ENSG00000181143,47455.2760972796,47455.2760972796,42866.6205509075,47455.2760972796,-0.146710556592341,37,head,Neutral,,,normcounts
ENSG00000117984_CTSD,ENSG00000117984,47389.9136578568,47389.9136578568,44543.8598178132,47389.9136578568,-0.089351511326571,38,head,Neutral,,,normcounts
ENSG00000067225_PKM,ENSG00000067225,47367.9781477246,47367.9781477246,42075.0343786526,47367.9781477246,-0.170943811604126,39,head,Neutral,,,normcounts
ENSG00000148303_RPL7A,ENSG00000148303,45524.4911982544,45524.4911982544,48066.2724281005,45524.4911982544,0.0783803569577835,40,head,Neutral,,,normcounts
ENSG00000254772_EEF1G,ENSG00000254772,45252.1750335305,45252.1750335305,47607.9720573929,45252.1750335305,0.0732144619907142,41,head,Neutral,,,normcounts
ENSG00000170421_KRT8,ENSG00000170421,43536.7508291881,43536.7508291881,40667.1096461483,43536.7508291881,-0.0983689471324976,42,head,Neutral,,,normcounts
ENSG00000169710_FASN,ENSG00000169710,41539.2051267491,41539.2051267491,39068.6167351441,41539.2051267491,-0.0884612372193274,43,head,Neutral,,,normcounts
ENSG00000174748_RPL15,ENSG00000174748,41425.8545366325,41425.8545366325,42116.7533780182,41425.8545366325,0.0238621996255777,44,head,Neutral,,,normcounts
ENSG00000145425_RPS3A,ENSG00000145425,40909.8514536891,40909.8514536891,41983.8542264688,40909.8514536891,0.0373854150219248,45,head,Neutral,,,normcounts
ENSG00000137154_RPS6,ENSG00000137154,40341.0680021875,40341.0680021875,42813.3895211988,40341.0680021875,0.0858107137968034,46,head,Neutral,,,normcounts
ENSG00000182718_ANXA2,ENSG00000182718,40139.5308995041,40139.5308995041,37573.7277905905,40139.5308995041,-0.0952970453392243,47,head,Neutral,,,normcounts
ENSG00000167526_RPL13,ENSG00000167526,38482.2149546635,38482.2149546635,42706.7184771945,38482.2149546635,0.150267499291958,48,head,Neutral,,,normcounts
ENSG00000103257_SLC7A5,ENSG00000103257,37492.8650559881,37492.8650559881,36442.1524693416,37492.8650559881,-0.0410067904763682,49,head,Neutral,,,normcounts
ENSG00000198034_RPS4X,ENSG00000198034,37358.9118905091,37358.9118905091,38208.2186730105,37358.9118905091,0.0324297042247697,50,head,Neutral,,,normcounts
ENSG00000149273_RPS3,ENSG00000149273,37139.8262489545,37139.8262489545,40186.2941426062,37139.8262489545,0.113733531953471,51,head,Neutral,,,normcounts
