timepoint	condition	x	density
4h	Ctrl	4.365591397849463	0.05823573197906388
4h	Ctrl	4.387096774193549	0.05809257149330616
4h	Ctrl	4.408602150537635	0.05793430178724471
4h	Ctrl	4.430107526881721	0.05775867858348183
4h	Ctrl	4.451612903225807	0.057567557895158224
4h	Ctrl	4.473118279569893	0.05736136935080493
4h	Ctrl	4.494623655913979	0.05714045944112569
4h	Ctrl	4.516129032258065	0.056908165123661196
4h	Ctrl	4.537634408602151	0.05666419486415384
4h	Ctrl	4.559139784946237	0.0564128595604807
4h	Ctrl	4.580645161290323	0.05615570871673128
4h	Ctrl	4.602150537634409	0.055895629475046976
4h	Ctrl	4.623655913978495	0.05563640033150226
4h	Ctrl	4.645161290322581	0.05537947555490241
4h	Ctrl	4.666666666666667	0.055130003452683
4h	Ctrl	4.688172043010753	0.05488923644508814
4h	Ctrl	4.709677419354839	0.054660183333003404
4h	Ctrl	4.731182795698925	0.05444559603149314
4h	Ctrl	4.752688172043011	0.054246857827282
4h	Ctrl	4.774193548387097	0.05406581561650187
4h	Ctrl	4.795698924731183	0.05390357756801477
4h	Ctrl	4.817204301075269	0.05376034647587499
4h	Ctrl	4.838709677419355	0.05363628446574437
4h	Ctrl	4.860215053763441	0.0535302858432767
4h	Ctrl	4.881720430107527	0.053442190647187096
4h	Ctrl	4.903225806451613	0.05336930540160847
4h	Ctrl	4.924731182795699	0.05331064640599477
4h	Ctrl	4.946236559139785	0.05326263272727041
4h	Ctrl	4.967741935483871	0.053223086402755526
4h	Ctrl	4.989247311827957	0.05318907147220959
4h	Ctrl	5.010752688172043	0.05315797818766443
4h	Ctrl	5.032258064516129	0.05312564002037607
4h	Ctrl	5.053763440860216	0.05308988710837195
4h	Ctrl	5.075268817204302	0.0530474410998609
4h	Ctrl	5.096774193548388	0.05299624653581672
4h	Ctrl	5.118279569892474	0.052933749115596174
4h	Ctrl	5.13978494623656	0.05285844434927709
4h	Ctrl	5.161290322580646	0.05276894160704309
4h	Ctrl	5.182795698924732	0.052664958419787654
4h	Ctrl	5.204301075268818	0.05254548985358144
4h	Ctrl	5.225806451612904	0.05241205051933025
4h	Ctrl	5.24731182795699	0.05226386787298687
4h	Ctrl	5.268817204301076	0.052102877757435266
4h	Ctrl	5.290322580645162	0.05193113051947337
4h	Ctrl	5.311827956989248	0.05175025547246379
4h	Ctrl	5.333333333333334	0.05156289198145808
4h	Ctrl	5.35483870967742	0.051371933044742434
4h	Ctrl	5.376344086021506	0.05118025452031621
4h	Ctrl	5.397849462365592	0.05099000282815165
