contrast_id	timepoint	numerator	denominator	x	delta_density
D_vs_Ctrl_4h	4h	D	Ctrl	6.236559139784947	-0.0003397028793038215
D_vs_Ctrl_4h	4h	D	Ctrl	6.258064516129033	-0.0004307835012637082
D_vs_Ctrl_4h	4h	D	Ctrl	6.279569892473119	-0.0005084856705505833
D_vs_Ctrl_4h	4h	D	Ctrl	6.301075268817205	-0.000572549732163849
D_vs_Ctrl_4h	4h	D	Ctrl	6.322580645161291	-0.00062293996146464
D_vs_Ctrl_4h	4h	D	Ctrl	6.344086021505377	-0.0006605881672600636
D_vs_Ctrl_4h	4h	D	Ctrl	6.365591397849463	-0.0006860730202698576
D_vs_Ctrl_4h	4h	D	Ctrl	6.387096774193549	-0.0006995006703525847
D_vs_Ctrl_4h	4h	D	Ctrl	6.408602150537635	-0.0007024974011093227
D_vs_Ctrl_4h	4h	D	Ctrl	6.430107526881721	-0.000695844934509457
D_vs_Ctrl_4h	4h	D	Ctrl	6.451612903225807	-0.0006807367587798596
D_vs_Ctrl_4h	4h	D	Ctrl	6.473118279569893	-0.0006569457124406333
D_vs_Ctrl_4h	4h	D	Ctrl	6.494623655913979	-0.0006265427718134056
D_vs_Ctrl_4h	4h	D	Ctrl	6.516129032258065	-0.000591091610540842
D_vs_Ctrl_4h	4h	D	Ctrl	6.537634408602151	-0.0005511972688914957
D_vs_Ctrl_4h	4h	D	Ctrl	6.559139784946237	-0.0005068265177451958
D_vs_Ctrl_4h	4h	D	Ctrl	6.580645161290323	-0.00045970683040923166
D_vs_Ctrl_4h	4h	D	Ctrl	6.602150537634409	-0.00041078351064045837
D_vs_Ctrl_4h	4h	D	Ctrl	6.623655913978495	-0.00036021088471402396
D_vs_Ctrl_4h	4h	D	Ctrl	6.645161290322581	-0.0003083297312648642
D_vs_Ctrl_4h	4h	D	Ctrl	6.666666666666667	-0.00025575336925404146
D_vs_Ctrl_4h	4h	D	Ctrl	6.688172043010753	-0.0002036503172701265
D_vs_Ctrl_4h	4h	D	Ctrl	6.709677419354839	-0.00015156219656559805
D_vs_Ctrl_4h	4h	D	Ctrl	6.731182795698925	-0.00010035887099243274
D_vs_Ctrl_4h	4h	D	Ctrl	6.752688172043011	-5.109007964671647e-05
D_vs_Ctrl_4h	4h	D	Ctrl	6.774193548387097	-3.997333172710282e-06
