gene_id	log_expression	timepoint	condition
ENSG00000015676_NUDCD3	10.732440080072328	4h	Ctrl
ENSG00000016082_ISL1	6.593658314442341	4h	Ctrl
ENSG00000016391_CHDH	9.432948851339248	4h	Ctrl
ENSG00000016402_IL20RA	8.016066716727702	4h	Ctrl
ENSG00000016864_GLT8D1	9.144958116884984	4h	Ctrl
ENSG00000017260_ATP2C1	11.953008631214907	4h	Ctrl
ENSG00000017483_SLC38A5	2.2703275621045464	4h	Ctrl
ENSG00000017797_RALBP1	11.829956521228878	4h	Ctrl
ENSG00000018189_RUFY3	9.787846917071953	4h	Ctrl
ENSG00000018280_SLC11A1	1.8125037088121974	4h	Ctrl
ENSG00000018408_WWTR1	10.352771363849946	4h	Ctrl
ENSG00000018510_AGPS	11.570332439762424	4h	Ctrl
ENSG00000018610_CXorf56	8.85752597313618	4h	Ctrl
ENSG00000018625_ATP1A2	2.380186698680292	4h	Ctrl
ENSG00000018699_TTC27	10.012172560051054	4h	Ctrl
ENSG00000018869_ZNF582	3.5393096826066426	4h	Ctrl
ENSG00000019144_PHLDB1	10.584730303959807	4h	Ctrl
ENSG00000019169_MARCO	5.622506982539598	4h	Ctrl
ENSG00000019485_PRDM11	6.512627559689005	4h	Ctrl
ENSG00000019549_SNAI2	6.824536363191483	4h	Ctrl
ENSG00000019582_CD74	3.0376250563542517	4h	Ctrl
ENSG00000019995_ZRANB1	9.63980416679448	4h	Ctrl
ENSG00000020129_NCDN	9.63145603871259	4h	Ctrl
ENSG00000020181_ADGRA2	4.416171674495993	4h	Ctrl
ENSG00000020256_ZFP64	9.040954512505051	4h	Ctrl
ENSG00000020426_MNAT1	9.16484201954326	4h	Ctrl
ENSG00000020577_SAMD4A	9.603540583641703	4h	Ctrl
ENSG00000020922_MRE11	10.493268416218527	4h	Ctrl
ENSG00000021300_PLEKHB1	6.034944167683638	4h	Ctrl
ENSG00000021355_SERPINB1	10.838122397631624	4h	Ctrl
ENSG00000021574_SPAST	9.812779407196158	4h	Ctrl
ENSG00000021762_OSBPL5	11.93579564577454	4h	Ctrl
ENSG00000021776_AQR	11.30123420509836	4h	Ctrl
ENSG00000021826_CPS1	10.184301217766308	4h	Ctrl
ENSG00000022277_RTF2	10.436772233082845	4h	Ctrl
ENSG00000022567_SLC45A4	9.611793868793253	4h	Ctrl
ENSG00000022840_RNF10	11.827413311085827	4h	Ctrl
ENSG00000022976_ZNF839	8.151399055920272	4h	Ctrl
ENSG00000023041_ZDHHC6	10.096181541737247	4h	Ctrl
ENSG00000023171_GRAMD1B	4.943379659284449	4h	Ctrl
ENSG00000023191_RNH1	11.43124317924485	4h	Ctrl
ENSG00000023228_NDUFS1	12.542483146853765	4h	Ctrl
ENSG00000023287_RB1CC1	11.552963818287315	4h	Ctrl
ENSG00000023318_ERP44	10.06614872226404	4h	Ctrl
ENSG00000023330_ALAS1	9.21429713589395	4h	Ctrl
ENSG00000023445_BIRC3	12.963468055831836	4h	Ctrl
ENSG00000023516_AKAP11	11.648166389091077	4h	Ctrl
ENSG00000023572_GLRX2	9.198295394535169	4h	Ctrl
ENSG00000023608_SNAPC1	7.628731806041401	4h	Ctrl
ENSG00000023697_DERA	9.519074333284527	4h	Ctrl
ENSG00000023734_STRAP	11.652629806709584	4h	Ctrl
ENSG00000023839_ABCC2	8.841394503189877	4h	Ctrl
ENSG00000023892_DEF6	7.977534188671589	4h	Ctrl
ENSG00000023902_PLEKHO1	5.026838325413122	4h	Ctrl
ENSG00000023909_GCLM	11.594178195973518	4h	Ctrl
ENSG00000024048_UBR2	11.133221258554832	4h	Ctrl
ENSG00000024422_EHD2	11.194787192695156	4h	Ctrl
ENSG00000024526_DEPDC1	9.822607399865898	4h	Ctrl
ENSG00000024862_CCDC28A	7.806800555047695	4h	Ctrl
ENSG00000025039_RRAGD	7.444292186016935	4h	Ctrl
ENSG00000025156_HSF2	8.259228029870652	4h	Ctrl
ENSG00000025293_PHF20	10.525045289807156	4h	Ctrl
ENSG00000025423_HSD17B6	2.604209706367077	4h	Ctrl
ENSG00000025434_NR1H3	8.575914674139886	4h	Ctrl
ENSG00000025708_TYMP	10.728043410109425	4h	Ctrl
ENSG00000025770_NCAPH2	8.925779101059971	4h	Ctrl
ENSG00000025772_TOMM34	10.078546923646291	4h	Ctrl
ENSG00000025796_SEC63	11.528976320633719	4h	Ctrl
ENSG00000025800_KPNA6	12.103630848656238	4h	Ctrl
ENSG00000026025_VIM	7.612500930219764	4h	Ctrl
ENSG00000026103_FAS	9.675959959238007	4h	Ctrl
ENSG00000026297_RNASET2	8.894523195408462	4h	Ctrl
ENSG00000026508_CD44	13.208792210780057	4h	Ctrl
ENSG00000026652_AGPAT4	8.399476608582573	4h	Ctrl
ENSG00000026751_SLAMF7	0.0	4h	Ctrl
ENSG00000026950_BTN3A1	8.19253725919154	4h	Ctrl
ENSG00000027001_MIPEP	9.996055930551554	4h	Ctrl
ENSG00000027075_PRKCH	7.409791551870554	4h	Ctrl
ENSG00000027697_IFNGR1	10.658980036102509	4h	Ctrl
ENSG00000027847_B4GALT7	8.333494501351183	4h	Ctrl
ENSG00000027869_SH2D2A	6.141055240303411	4h	Ctrl
ENSG00000028116_VRK2	9.745920199700903	4h	Ctrl
ENSG00000028203_VEZT	10.817750420517484	4h	Ctrl
ENSG00000028277_POU2F2	2.7043970987824038	4h	Ctrl
ENSG00000028310_BRD9	9.750476814464983	4h	Ctrl
ENSG00000028528_SNX1	10.70771108869719	4h	Ctrl
ENSG00000028839_TBPL1	8.587336516607554	4h	Ctrl
ENSG00000029153_ARNTL2	11.258398575188851	4h	Ctrl
ENSG00000029363_BCLAF1	12.687715653333688	4h	Ctrl
ENSG00000029364_SLC39A9	11.824296394200713	4h	Ctrl
ENSG00000029534_ANK1	0.906538249376458	4h	Ctrl
ENSG00000029639_TFB1M	8.326155313903062	4h	Ctrl
ENSG00000029725_RABEP1	11.077503386370534	4h	Ctrl
ENSG00000029993_HMGB3	10.268305336750844	4h	Ctrl
ENSG00000030066_NUP160	10.946860469563116	4h	Ctrl
ENSG00000030110_BAK1	9.49290880939896	4h	Ctrl
ENSG00000030419_IKZF2	11.526929372525094	4h	Ctrl
ENSG00000030582_GRN	12.74337227789796	4h	Ctrl
ENSG00000031003_FAM13B	9.211377904010238	4h	Ctrl
ENSG00000031081_ARHGAP31	8.413288006071474	4h	Ctrl
ENSG00000031691_CENPQ	6.471803330005302	4h	Ctrl
ENSG00000031698_SARS	11.367789484807645	4h	Ctrl
ENSG00000031823_RANBP3	10.237398989201072	4h	Ctrl
ENSG00000032219_ARID4A	9.285231266595535	4h	Ctrl
ENSG00000032389_EIPR1	9.01699533467417	4h	Ctrl
ENSG00000032444_PNPLA6	10.960061592766875	4h	Ctrl
ENSG00000032742_IFT88	8.536626471200405	4h	Ctrl
ENSG00000033011_ALG1	9.376572341088394	4h	Ctrl
ENSG00000033030_ZCCHC8	9.246141955260544	4h	Ctrl
ENSG00000033050_ABCF2	11.151191047982293	4h	Ctrl
ENSG00000033100_CHPF2	10.100473968478582	4h	Ctrl
ENSG00000033170_FUT8	8.475683029842239	4h	Ctrl
ENSG00000033178_UBA6	11.314572185407842	4h	Ctrl
ENSG00000033327_GAB2	7.004066896769107	4h	Ctrl
ENSG00000033627_ATP6V0A1	10.092196021311521	4h	Ctrl
ENSG00000033800_PIAS1	10.599117812501417	4h	Ctrl
ENSG00000033867_SLC4A7	10.397219940520278	4h	Ctrl
ENSG00000034152_MAP2K3	10.950529142552481	4h	Ctrl
ENSG00000034510_TMSB10	14.304182074789857	4h	Ctrl
ENSG00000034533_ASTE1	7.306738245052127	4h	Ctrl
ENSG00000034677_RNF19A	9.509585375683267	4h	Ctrl
ENSG00000034693_PEX3	9.01482774167092	4h	Ctrl
ENSG00000034713_GABARAPL2	9.975396429580073	4h	Ctrl
ENSG00000035115_SH3YL1	10.939756389233215	4h	Ctrl
ENSG00000035141_FAM136A	10.840865333726367	4h	Ctrl
ENSG00000035403_VCL	11.912237233646309	4h	Ctrl
ENSG00000035499_DEPDC1B	7.997419923506439	4h	Ctrl
ENSG00000035664_DAPK2	6.75994839235593	4h	Ctrl
ENSG00000035681_NSMAF	10.28989492403408	4h	Ctrl
ENSG00000035687_ADSS	11.582361469406779	4h	Ctrl
ENSG00000035862_TIMP2	11.644373026087429	4h	Ctrl
ENSG00000035928_RFC1	10.903069191302261	4h	Ctrl
ENSG00000036054_TBC1D23	10.22109951785059	4h	Ctrl
ENSG00000036257_CUL3	11.144915768294117	4h	Ctrl
ENSG00000036549_AC118549.1	11.129157982892513	4h	Ctrl
ENSG00000036672_USP2	7.69599645629968	4h	Ctrl
ENSG00000037042_TUBG2	7.06445577214015	4h	Ctrl
ENSG00000037241_RPL26L1	8.580970337802977	4h	Ctrl
ENSG00000037474_NSUN2	11.370262098835061	4h	Ctrl
ENSG00000037637_FBXO42	6.879829243492672	4h	Ctrl
ENSG00000037749_MFAP3	9.729123420136796	4h	Ctrl
ENSG00000037757_MRI1	9.7386377043626	4h	Ctrl
ENSG00000037897_METTL1	8.359428996585281	4h	Ctrl
ENSG00000037965_HOXC8	8.062502450008845	4h	Ctrl
ENSG00000038002_AGA	7.9795997348015995	4h	Ctrl
ENSG00000038210_PI4K2B	9.70971472897585	4h	Ctrl
ENSG00000038219_BOD1L1	11.469718052585094	4h	Ctrl
