contrast_id	timepoint	numerator	denominator	x	ci_low	ci_high
D_vs_Ctrl_4h	4h	D	Ctrl	2.580645161290323	-0.0032879286928156576	0.008754241351609383
D_vs_Ctrl_4h	4h	D	Ctrl	2.602150537634409	-0.0032476288263222175	0.008754744433613628
D_vs_Ctrl_4h	4h	D	Ctrl	2.623655913978495	-0.003294594427800188	0.008741019668519603
D_vs_Ctrl_4h	4h	D	Ctrl	2.645161290322581	-0.003268193589435434	0.008747746089906075
D_vs_Ctrl_4h	4h	D	Ctrl	2.666666666666667	-0.003247816285357063	0.008752387511969953
D_vs_Ctrl_4h	4h	D	Ctrl	2.688172043010753	-0.0032821555990434717	0.008751217455051518
D_vs_Ctrl_4h	4h	D	Ctrl	2.709677419354839	-0.0033054171423892924	0.008706163067552439
D_vs_Ctrl_4h	4h	D	Ctrl	2.731182795698925	-0.003316689040555257	0.008673842589400401
D_vs_Ctrl_4h	4h	D	Ctrl	2.752688172043011	-0.003288481903829239	0.008569546937757353
D_vs_Ctrl_4h	4h	D	Ctrl	2.774193548387097	-0.0032819130385941977	0.008484164473079673
D_vs_Ctrl_4h	4h	D	Ctrl	2.795698924731183	-0.0033496753217966938	0.008496532638902236
D_vs_Ctrl_4h	4h	D	Ctrl	2.817204301075269	-0.0034256488077329065	0.008372787169494569
D_vs_Ctrl_4h	4h	D	Ctrl	2.838709677419355	-0.003581333384883472	0.008232076749303572
D_vs_Ctrl_4h	4h	D	Ctrl	2.860215053763441	-0.003695042280343562	0.008095547432932882
D_vs_Ctrl_4h	4h	D	Ctrl	2.881720430107527	-0.003791764105207945	0.007933401389217542
D_vs_Ctrl_4h	4h	D	Ctrl	2.903225806451613	-0.003899201822997136	0.007765096907374079
D_vs_Ctrl_4h	4h	D	Ctrl	2.924731182795699	-0.0040274723269513165	0.007562928103356382
D_vs_Ctrl_4h	4h	D	Ctrl	2.946236559139785	-0.00419243112830124	0.007265335817418858
D_vs_Ctrl_4h	4h	D	Ctrl	2.967741935483871	-0.004439046944486274	0.0070168087297509925
D_vs_Ctrl_4h	4h	D	Ctrl	2.9892473118279574	-0.004664289291379627	0.006744242397323271
D_vs_Ctrl_4h	4h	D	Ctrl	3.0107526881720434	-0.004982872861548271	0.006472999712317422
D_vs_Ctrl_4h	4h	D	Ctrl	3.0322580645161294	-0.005260435923635985	0.006276201906814515
D_vs_Ctrl_4h	4h	D	Ctrl	3.0537634408602155	-0.005553614141761854	0.006027506985350895
D_vs_Ctrl_4h	4h	D	Ctrl	3.0752688172043015	-0.005759088302049458	0.005725695124430329
D_vs_Ctrl_4h	4h	D	Ctrl	3.0967741935483875	-0.006025226946350521	0.005319696131191847
D_vs_Ctrl_4h	4h	D	Ctrl	3.1182795698924735	-0.006307680522795016	0.00504448426626622
D_vs_Ctrl_4h	4h	D	Ctrl	3.1397849462365595	-0.006603473649598313	0.004760407901008671
D_vs_Ctrl_4h	4h	D	Ctrl	3.1612903225806455	-0.006915421382290195	0.004438571964283457
D_vs_Ctrl_4h	4h	D	Ctrl	3.1827956989247315	-0.007179726111379866	0.004169816700613385
D_vs_Ctrl_4h	4h	D	Ctrl	3.2043010752688175	-0.007454982010300045	0.0038753963884245297
D_vs_Ctrl_4h	4h	D	Ctrl	3.2258064516129035	-0.00771264555687833	0.0035714620255833463
D_vs_Ctrl_4h	4h	D	Ctrl	3.2473118279569895	-0.007945768266764493	0.003300333766071912
D_vs_Ctrl_4h	4h	D	Ctrl	3.2688172043010755	-0.008155876845701423	0.003071063778399207
D_vs_Ctrl_4h	4h	D	Ctrl	3.2903225806451615	-0.008304765613858537	0.002902297214686797
D_vs_Ctrl_4h	4h	D	Ctrl	3.3118279569892475	-0.008484045043286075	0.002732488270091766
D_vs_Ctrl_4h	4h	D	Ctrl	3.3333333333333335	-0.008577215816058279	0.002640233110620822
D_vs_Ctrl_4h	4h	D	Ctrl	3.3548387096774195	-0.008644672057570914	0.002534590240486054
D_vs_Ctrl_4h	4h	D	Ctrl	3.3763440860215055	-0.008649453870528373	0.00246159273020293
D_vs_Ctrl_4h	4h	D	Ctrl	3.3978494623655915	-0.008721518786797871	0.0024215929172794887
D_vs_Ctrl_4h	4h	D	Ctrl	3.4193548387096775	-0.008690313515896289	0.0024349271726405958
D_vs_Ctrl_4h	4h	D	Ctrl	3.440860215053764	-0.008618189231103345	0.0024201120385212455
D_vs_Ctrl_4h	4h	D	Ctrl	3.46236559139785	-0.008542564595807241	0.0024668601811777737
D_vs_Ctrl_4h	4h	D	Ctrl	3.483870967741936	-0.008431706488895395	0.0025166918598923463
D_vs_Ctrl_4h	4h	D	Ctrl	3.505376344086022	-0.008305027340568044	0.0025772737074586678
D_vs_Ctrl_4h	4h	D	Ctrl	3.526881720430108	-0.00826084076425777	0.002619789673113272
D_vs_Ctrl_4h	4h	D	Ctrl	3.548387096774194	-0.008186299897687889	0.0027187680922583514
D_vs_Ctrl_4h	4h	D	Ctrl	3.56989247311828	-0.008091686152375398	0.00282669927465924
D_vs_Ctrl_4h	4h	D	Ctrl	3.591397849462366	-0.0079285704683084	0.0029699281807742456
D_vs_Ctrl_4h	4h	D	Ctrl	3.612903225806452	-0.0077778661710530324	0.003083386555068659
D_vs_Ctrl_4h	4h	D	Ctrl	3.634408602150538	-0.007647425303255941	0.0032446173877374285
D_vs_Ctrl_4h	4h	D	Ctrl	3.655913978494624	-0.007513651008371763	0.003346156054845034
D_vs_Ctrl_4h	4h	D	Ctrl	3.67741935483871	-0.007395996598014262	0.0034739041758684104
D_vs_Ctrl_4h	4h	D	Ctrl	3.698924731182796	-0.0072752136440117875	0.0035639334801350923
D_vs_Ctrl_4h	4h	D	Ctrl	3.720430107526882	-0.007132669595384615	0.003644470732371345
D_vs_Ctrl_4h	4h	D	Ctrl	3.741935483870968	-0.007008683482773272	0.003744548104499729
D_vs_Ctrl_4h	4h	D	Ctrl	3.763440860215054	-0.006888449452088393	0.003789292005762632
D_vs_Ctrl_4h	4h	D	Ctrl	3.78494623655914	-0.006820935365996817	0.0038184543782100976
