gene,baseline_value,baseline_band,baseline_source_matrix
AC007938.2,1.2809679471563804,tail,size_factor_normalized_counts
AC007938.3,8.214674291576411,NA,size_factor_normalized_counts
AC007950.2,3.6803478300694117,tail,size_factor_normalized_counts
AC007952.2,3.7074404986360334,tail,size_factor_normalized_counts
AC007952.4,10002.819126795144,head,size_factor_normalized_counts
AC007953.1,4.93422310865917,NA,size_factor_normalized_counts
AC007993.3,1.3156599691306454,tail,size_factor_normalized_counts
AC007996.1,380.36754292064404,mid,size_factor_normalized_counts
AC008014.1,27.822596764727137,mid,size_factor_normalized_counts
AC008026.3,8.268859628709652,NA,size_factor_normalized_counts
AC008074.2,8.241766960143032,NA,size_factor_normalized_counts
AC008079.1,14.721391320277647,NA,size_factor_normalized_counts
AC008105.1,31.90284124194872,mid,size_factor_normalized_counts
AC008105.3,11.176506833041344,NA,size_factor_normalized_counts
AC008115.3,30.215483266293017,mid,size_factor_normalized_counts
AC008124.1,335.634422919912,mid,size_factor_normalized_counts
AC008147.2,20.672149071774136,NA,size_factor_normalized_counts
AC008264.2,4.080244477221584,NA,size_factor_normalized_counts
AC008267.5,21.844746344664028,NA,size_factor_normalized_counts
AC008269.1,32.91288250343889,mid,size_factor_normalized_counts
AC008280.3,6.479624360134615,NA,size_factor_normalized_counts
AC008393.1,11.257784838741209,NA,size_factor_normalized_counts
AC008397.1,52.46661963945637,mid,size_factor_normalized_counts
AC008406.3,15.019410674510485,NA,size_factor_normalized_counts
AC008429.1,7.09626235581976,NA,size_factor_normalized_counts
AC008438.1,2.826369198631825,tail,size_factor_normalized_counts
AC008443.1,88.84960200577885,mid,size_factor_normalized_counts
AC008443.5,3.7345331672026547,tail,size_factor_normalized_counts
AC008467.1,11.176506833041344,NA,size_factor_normalized_counts
AC008494.3,10.776610185889172,NA,size_factor_normalized_counts
AC008507.4,1.2267826100231374,tail,size_factor_normalized_counts
AC008532.1,2.080761241460724,tail,size_factor_normalized_counts
AC008543.1,23.68816695037231,mid,size_factor_normalized_counts
AC008567.3,1.2809679471563804,tail,size_factor_normalized_counts
AC008569.2,1.707957262875174,tail,size_factor_normalized_counts
AC008608.2,7.042077018686516,NA,size_factor_normalized_counts
AC008610.1,4.852945102959306,NA,size_factor_normalized_counts
AC008622.2,8.241766960143032,NA,size_factor_normalized_counts
AC008625.1,1.6266792571753093,tail,size_factor_normalized_counts
AC008687.2,1.2267826100231374,tail,size_factor_normalized_counts
AC008687.3,0.7997932943043438,tail,size_factor_normalized_counts
AC008691.1,11.1223214959081,NA,size_factor_normalized_counts
AC008735.1,4.588511798640242,NA,size_factor_normalized_counts
AC008736.1,13.12180473166896,NA,size_factor_normalized_counts
AC008737.1,0.3998966471521719,tail,size_factor_normalized_counts
AC008738.7,101.29380802271055,mid,size_factor_normalized_counts
AC008750.5,2.4535652200462748,tail,size_factor_normalized_counts
AC008760.1,18.564295161746788,NA,size_factor_normalized_counts
AC008760.2,76.26315726409516,mid,size_factor_normalized_counts
AC008763.1,2.053668572894103,tail,size_factor_normalized_counts
AC008764.6,24.487960244676653,mid,size_factor_normalized_counts
